invoice_id,source_format,target_country,seller_id,buyer_id,issue_date,currency,subtotal,tax_rate,tax_amount,total_amount,line_items_json,seller_vat,buyer_vat,payment_reference,delivery_date
INV_0000001,F_PINT_MY,MY,SELL_0167,BUY_0463,2026-05-14,MYR,461.18,0.05,23.06,484.24,"{""invoice_lines"": [{""line"": {""id"": ""1"", ""item_details"": {""description"": ""Consulting Services"", ""price"": 461.18, ""qty"": 1}}}]}",9115ABCDA,1602ABCDC,REF-6221,2026-05-16
INV_0000002,F_XREC_UBL,BE,SELL_0351,BUY_0175,2026-04-10,EUR,4450.86,0.07,311.56,4762.42,"{""invoice_lines"": [{""line"": {""id"": ""1"", ""item_details"": {""description"": ""Consulting Services"", ""price"": 4450.86, ""qty"": 1}}}]}",NL672440825,NL542437192,REF-2525,2026-05-16
INV_0000003,F_XREC_CII,MY,SELL_0032,BUY_0442,2026-05-12,MYR,3075.86,0.2,615.17,3691.03,"{""invoice_lines"": [{""line"": {""id"": ""1"", ""item_details"": {""description"": ""Consulting Services"", ""price"": 3075.86, ""qty"": 1}}}]}",C97729428,C32145548,REF-2659,2026-05-16
INV_0000004,F_PINT_MY,NL,SELL_0568,BUY_0554,2026-04-30,JPY,1399.8,0.19,265.96,1665.76,"[{""id"": ""1"", ""description"": ""Consulting Services"", ""qty"": 1, ""price"": 1399.8}]",INVALID-155,,REF-2571,2026-05-16
INV_0000005,F_NLCIUS,DE,SELL_0438,BUY_0090,2026-05-03,EUR,1543.29,0.21,324.09,1867.38,"{""invoice_lines"": [{""line"": {""id"": ""1"", ""item_details"": {""description"": ""Consulting Services"", ""price"": 1543.29, ""qty"": 1}}}]}",NL840141559,NL397760792,REF-2589,2026-05-16
INV_0000006,F_NLCIUS,DE,SELL_0485,BUY_0119,,EUR,1610.93,0.2,322.19,1933.12,"[{""id"": ""1"", ""description"": ""Consulting Services"", ""qty"": 1, ""price"": 1610.93}]",INVALID-490,1166ABCDB,REF-5341,2026-05-16
INV_0000007,F_FACTURX,DE,SELL_0457,BUY_0046,2026-03-23,EUR,2254.73,0.19,428.4,2683.13,"[{""id"": ""1"", ""description"": ""Consulting Services"", ""qty"": 1, ""price"": 2254.73}]",FR412940071,DE382711894,REF-5400,2026-05-16
INV_0000008,F_FACTURX,NL,SELL_0088,BUY_0353,2026-04-10,EUR,4060.08,0.2,812.02,4872.1,"{""invoice_lines"": [{""line"": {""id"": ""1"", ""item_details"": {""description"": ""Consulting Services"", ""price"": 4060.08, ""qty"": 1}}}]}",6198ABCDD,DE841139461,REF-1999,2026-05-16
INV_0000009,F_NLCIUS,MY,SELL_0549,BUY_0487,2026-04-26,MYR,2906.3,0.07,203.44,3109.74,"{""invoice_lines"": [{""line"": {""id"": ""1"", ""item_details"": {""description"": ""Consulting Services"", ""price"": 2906.3, ""qty"": 1}}}]}",C36229153,9056ABCDD,REF-2293,2026-05-16
INV_0000010,F_XREC_CII,SG,SELL_0515,BUY_0585,2026-05-05,SGD,689.38,0.2,137.88,827.26,"[{""id"": ""1"", ""description"": ""Consulting Services"", ""qty"": 1, ""price"": 689.38}]",9467ABCDB,C54524582,REF-4471,2026-05-16
INV_0000011,F_FACTURX,NL,SELL_0434,BUY_0081,2026-03-24,EUR,4942.57,0.2,988.51,5931.08,"{""invoice_lines"": [{""line"": {""id"": ""1"", ""item_details"": {""description"": ""Consulting Services"", ""price"": 4942.57, ""qty"": 1}}}]}",C14416002,C93115778,REF-3422,2026-05-16
INV_0000012,F_PINT_SG,DE,SELL_0069,BUY_0090,2026-03-22,EUR,2001.69,0.2,400.34,2402.03,"[{""id"": ""1"", ""description"": ""Consulting Services"", ""qty"": 1, ""price"": 2001.69}]",BE399708182,NL397760792,REF-5525,2026-05-16
INV_0000013,F_XREC_UBL,BE,SELL_0116,BUY_0425,2026-03-17,EUR,833.25,0.21,174.98,1008.23,"{""invoice_lines"": [{""line"": {""id"": ""1"", ""item_details"": {""description"": ""Consulting Services"", ""price"": 833.25, ""qty"": 1}}}]}",C42949803,3937ABCDA,REF-2730,2026-05-16
INV_0000014,F_ZUGFERD,BE,SELL_0549,BUY_0353,2026-04-04,EUR,4401.68,0.19,836.32,5238.0,"{""invoice_lines"": [{""line"": {""id"": ""1"", ""item_details"": {""description"": ""Consulting Services"", ""price"": 4401.68, ""qty"": 1}}}]}",C36229153,DE841139461,REF-8955,2026-05-16
INV_0000015,F_ZUGFERD,FR,SELL_0177,BUY_0283,2026-05-13,EUR,2074.57,0.21,435.66,2510.23,"{""invoice_lines"": [{""line"": {""id"": ""1"", ""item_details"": {""description"": ""Consulting Services"", ""price"": 2074.57, ""qty"": 1}}}]}",FR358589021,DE760146764,REF-7484,2026-05-16
INV_0000016,F_PINT_SG,DE,SELL_0244,BUY_0051,2026-05-14,EUR,3754.17,0.19,713.29,4467.46,"{""invoice_lines"": [{""line"": {""id"": ""1"", ""item_details"": {""description"": ""Consulting Services"", ""price"": 3754.17, ""qty"": 1}}}]}",6456ABCDB,C45594597,REF-6535,2026-05-16
INV_0000017,F_FACTURX,DE,SELL_0288,BUY_0504,2026-05-07,EUR,4305.35,0.05,215.27,4520.62,"[{""id"": ""1"", ""description"": ""Consulting Services"", ""qty"": 1, ""price"": 4305.35}]",6447ABCDB,6869ABCDA,REF-5923,2026-05-16
INV_0000018,F_FACTURX,FR,SELL_0276,BUY_0427,2026-04-17,EUR,3064.4,0.05,153.22,3217.62,"{""invoice_lines"": [{""line"": {""id"": ""1"", ""item_details"": {""description"": ""Consulting Services"", ""price"": 3064.4, ""qty"": 1}}}]}",C61830338,BE535968611,REF-4463,2026-05-16
INV_0000019,F_XREC_CII,FR,SELL_0529,BUY_0383,2026-05-11,EUR,4122.99,0.21,865.83,4988.82,"{""invoice_lines"": [{""line"": {""id"": ""1"", ""item_details"": {""description"": ""Consulting Services"", ""price"": 4122.99, ""qty"": 1}}}]}",FR531942087,FR161994392,REF-6097,2026-05-16
INV_0000020,F_FACTURX,FR,SELL_0537,BUY_0583,,EUR,241.85,0.07,55.12,258.78,"{""invoice_lines"": [{""line"": {""id"": ""1"", ""item_details"": {""description"": ""Consulting Services"", ""price"": 241.85, ""qty"": 1}}}]}",DE226762436,NL970161616,REF-1944,2026-05-16
INV_0000021,F_PEPPOL,DE,SELL_0476,BUY_0518,2026-04-30,EUR,2045.02,0.05,102.25,2147.27,"[{""id"": ""1"", ""description"": ""Consulting Services"", ""qty"": 1, ""price"": 2045.02}]",C10597274,7745ABCDD,REF-7102,2026-05-16
INV_0000022,F_PINT_MY,FR,SELL_0486,BUY_0565,2026-03-29,EUR,1813.82,0.07,126.97,1940.79,"{""invoice_lines"": [{""line"": {""id"": ""1"", ""item_details"": {""description"": ""Consulting Services"", ""price"": 1813.82, ""qty"": 1}}}]}",BE110290140,BE963177562,REF-2480,2026-05-16
INV_0000023,F_FACTURX,FR,SELL_0167,BUY_0586,2026-04-04,EUR,3921.17,0.07,274.48,4195.65,"{""invoice_lines"": [{""line"": {""id"": ""1"", ""item_details"": {""description"": ""Consulting Services"", ""price"": 3921.17, ""qty"": 1}}}]}",9115ABCDA,DE961596686,REF-4688,2026-05-16
INV_0000024,F_NLCIUS,DE,SELL_0420,BUY_0526,2026-03-18,EUR,198.26,0.05,9.91,208.17,"{""invoice_lines"": [{""line"": {""id"": ""1"", ""item_details"": {""description"": ""Consulting Services"", ""price"": 198.26, ""qty"": 1}}}]}",BE817490982,NL927175323,REF-3167,2026-05-16
INV_0000025,F_PINT_MY,MY,SELL_0230,BUY_0259,2026-04-18,MYR,3080.89,0.19,585.37,3666.26,"{""invoice_lines"": [{""line"": {""id"": ""1"", ""item_details"": {""description"": ""Consulting Services"", ""price"": 3080.89, ""qty"": 1}}}]}",FR466034277,BE251857566,REF-7168,2026-05-16
INV_0000026,F_ZUGFERD,FR,SELL_0224,BUY_0478,,JPY,1580.51,0.21,331.91,1912.42,"{""invoice_lines"": [{""line"": {""id"": ""1"", ""item_details"": {""description"": ""Consulting Services"", ""price"": 1580.51, ""qty"": 1}}}]}",FR216198604,FR786237617,REF-2676,2026-05-16
INV_0000027,F_PINT_MY,SG,SELL_0306,BUY_0111,2026-04-05,SGD,2460.52,0.19,467.5,2928.02,"[{""id"": ""1"", ""description"": ""Consulting Services"", ""qty"": 1, ""price"": 2460.52}]",BE379484009,C56600900,REF-6327,2026-05-16
INV_0000028,F_PEPPOL,DE,SELL_0306,BUY_0193,2026-03-25,EUR,834.65,0.07,58.43,893.08,"{""invoice_lines"": [{""line"": {""id"": ""1"", ""item_details"": {""description"": ""Consulting Services"", ""price"": 834.65, ""qty"": 1}}}]}",BE379484009,2775ABCDB,REF-7620,2026-05-16
INV_0000029,F_ZUGFERD,SG,SELL_0027,BUY_0510,2026-04-20,SGD,4987.6,0.19,947.64,5935.24,"[{""id"": ""1"", ""description"": ""Consulting Services"", ""qty"": 1, ""price"": 4987.6}]",2133ABCDB,3711ABCDA,REF-7361,2026-05-16
INV_0000030,F_PINT_SG,MY,SELL_0352,BUY_0228,2026-04-13,MYR,3462.96,0.2,692.59,4155.55,"{""invoice_lines"": [{""line"": {""id"": ""1"", ""item_details"": {""description"": ""Consulting Services"", ""price"": 3462.96, ""qty"": 1}}}]}",5331ABCDD,C19339597,REF-5918,2026-05-16
INV_0000031,F_XREC_CII,SG,SELL_0301,BUY_0100,2026-04-02,SGD,2406.83,0.19,457.3,2864.13,"[{""id"": ""1"", ""description"": ""Consulting Services"", ""qty"": 1, ""price"": 2406.83}]",1570ABCDB,C13637575,REF-6499,2026-05-16
INV_0000032,F_PINT_SG,NL,SELL_0229,BUY_0315,2026-04-29,EUR,2160.32,0.19,410.46,2570.78,"[{""id"": ""1"", ""description"": ""Consulting Services"", ""qty"": 1, ""price"": 2160.32}]",NL132917811,C34422678,REF-5817,2026-05-16
INV_0000033,F_XREC_UBL,BE,SELL_0055,BUY_0598,2026-04-15,EUR,2943.53,0.21,618.14,3561.67,"{""invoice_lines"": [{""line"": {""id"": ""1"", ""item_details"": {""description"": ""Consulting Services"", ""price"": 2943.53, ""qty"": 1}}}]}",5462ABCDC,3725ABCDD,REF-4187,2026-05-16
INV_0000034,F_XREC_CII,SG,SELL_0543,BUY_0306,2026-05-03,SGD,2124.23,0.07,148.7,2272.93,"[{""id"": ""1"", ""description"": ""Consulting Services"", ""qty"": 1, ""price"": 2124.23}]",BE866673993,5678ABCDD,REF-6614,2026-05-16
INV_0000035,F_PINT_SG,MY,SELL_0147,BUY_0324,2026-04-05,MYR,3916.81,0.2,783.36,4700.17,"{""invoice_lines"": [{""line"": {""id"": ""1"", ""item_details"": {""description"": ""Consulting Services"", ""price"": 3916.81, ""qty"": 1}}}]}",FR574840200,C34207075,REF-3897,2026-05-16
INV_0000036,F_XREC_CII,BE,SELL_0463,BUY_0281,2026-04-14,EUR,1125.97,0.07,78.82,1204.79,"[{""id"": ""1"", ""description"": ""Consulting Services"", ""qty"": 1, ""price"": 1125.97}]",C77996397,,REF-2442,2026-05-16
INV_0000037,F_FACTURX,FR,SELL_0489,BUY_0393,2026-03-30,EUR,122.88,0.21,25.8,148.68,"{""invoice_lines"": [{""line"": {""id"": ""1"", ""item_details"": {""description"": ""Consulting Services"", ""price"": 122.88, ""qty"": 1}}}]}",NL395121074,FR116799547,REF-7112,2026-05-16
INV_0000038,F_FACTURX,DE,SELL_0196,BUY_0019,2026-04-01,EUR,3416.07,0.07,239.12,3655.19,"{""invoice_lines"": [{""line"": {""id"": ""1"", ""item_details"": {""description"": ""Consulting Services"", ""price"": 3416.07, ""qty"": 1}}}]}",BE628951656,C84252722,REF-6641,2026-05-16
INV_0000039,F_PINT_MY,BE,SELL_0516,BUY_0314,2026-04-16,EUR,4136.83,0.19,786.0,4922.83,"{""invoice_lines"": [{""line"": {""id"": ""1"", ""item_details"": {""description"": ""Consulting Services"", ""price"": 4136.83, ""qty"": 1}}}]}",BE279336562,BE170101400,REF-9524,2026-05-16
INV_0000040,F_PINT_SG,DE,SELL_0138,BUY_0351,2026-03-28,EUR,4981.08,0.2,1015.19,5977.3,"[{""id"": ""1"", ""description"": ""Consulting Services"", ""qty"": 1, ""price"": 4981.08}]",INVALID-234,DE825708356,REF-4087,2026-05-16
INV_0000041,F_ZUGFERD,NL,SELL_0517,BUY_0174,2026-03-20,EUR,1896.3,0.05,94.81,1991.11,"{""invoice_lines"": [{""line"": {""id"": ""1"", ""item_details"": {""description"": ""Consulting Services"", ""price"": 1896.3, ""qty"": 1}}}]}",NL232244172,BE160257560,REF-5190,2026-05-16
INV_0000042,F_PEPPOL,MY,SELL_0050,BUY_0111,2026-04-01,MYR,3302.48,0.05,165.12,3467.6,"{""invoice_lines"": [{""line"": {""id"": ""1"", ""item_details"": {""description"": ""Consulting Services"", ""price"": 3302.48, ""qty"": 1}}}]}",FR907308348,C56600900,REF-2897,2026-05-16
INV_0000043,F_FACTURX,FR,SELL_0561,BUY_0259,2026-04-01,EUR,2424.54,0.07,169.72,2594.26,"{""invoice_lines"": [{""line"": {""id"": ""1"", ""item_details"": {""description"": ""Consulting Services"", ""price"": 2424.54, ""qty"": 1}}}]}",DE197088689,BE251857566,REF-1152,2026-05-16
INV_0000044,F_XREC_UBL,SG,SELL_0533,BUY_0277,2026-04-27,SGD,4170.2,0.05,208.51,4378.71,"[{""id"": ""1"", ""description"": ""Consulting Services"", ""qty"": 1, ""price"": 4170.2}]",3247ABCDD,3392ABCDB,REF-2867,2026-05-16
INV_0000045,F_PINT_SG,FR,SELL_0205,BUY_0270,2026-03-31,EUR,4174.34,0.07,292.2,4466.54,"{""invoice_lines"": [{""line"": {""id"": ""1"", ""item_details"": {""description"": ""Consulting Services"", ""price"": 4174.34, ""qty"": 1}}}]}",NL258435089,FR402550088,REF-7713,2026-05-16
INV_0000046,F_PEPPOL,BE,SELL_0213,BUY_0493,2026-04-03,EUR,1719.96,0.05,86.0,1805.96,"{""invoice_lines"": [{""line"": {""id"": ""1"", ""item_details"": {""description"": ""Consulting Services"", ""price"": 1719.96, ""qty"": 1}}}]}",BE445864933,NL134607126,REF-2458,2026-05-16
INV_0000047,F_XREC_UBL,MY,SELL_0153,BUY_0093,2026-03-19,MYR,3919.68,0.05,195.98,4115.66,"{""invoice_lines"": [{""line"": {""id"": ""1"", ""item_details"": {""description"": ""Consulting Services"", ""price"": 3919.68, ""qty"": 1}}}]}",C76906611,4505ABCDA,REF-5192,2026-05-16
INV_0000048,F_PEPPOL,FR,SELL_0271,BUY_0476,2026-03-22,EUR,345.39,0.07,24.18,369.57,"{""invoice_lines"": [{""line"": {""id"": ""1"", ""item_details"": {""description"": ""Consulting Services"", ""price"": 345.39, ""qty"": 1}}}]}",FR549533634,5560ABCDA,REF-5760,2026-05-16
INV_0000049,F_PEPPOL,SG,SELL_0437,BUY_0119,2026-03-22,SGD,565.49,0.05,28.27,593.76,"[{""id"": ""1"", ""description"": ""Consulting Services"", ""qty"": 1, ""price"": 565.49}]",FR680424495,1166ABCDB,REF-3267,2026-05-16
INV_0000050,F_XREC_UBL,NL,SELL_0367,BUY_0449,2026-04-22,EUR,-4779.94,0.19,-908.19,-5688.13,"[{""id"": ""1"", ""description"": ""Consulting Services"", ""qty"": 1, ""price"": 4779.94}]",DE788603957,,REF-6615,2026-05-16
INV_0000051,F_XREC_UBL,DE,SELL_0490,BUY_0432,2026-05-07,EUR,3279.35,0.07,229.55,3508.9,"[{""id"": ""1"", ""description"": ""Consulting Services"", ""qty"": 1, ""price"": 3279.35}]",FR929516706,NL843338269,REF-1960,2026-05-16
INV_0000052,F_XREC_CII,NL,SELL_0427,BUY_0495,2026-04-06,EUR,4031.1,0.2,806.22,4837.32,"{""invoice_lines"": [{""line"": {""id"": ""1"", ""item_details"": {""description"": ""Consulting Services"", ""price"": 4031.1, ""qty"": 1}}}]}",DE526164289,C91907952,REF-7221,2026-05-16
INV_0000053,F_ZUGFERD,MY,SELL_0134,BUY_0495,,JPY,4609.95,0.05,271.2,4840.45,"{""invoice_lines"": [{""line"": {""id"": ""1"", ""item_details"": {""description"": ""Consulting Services"", ""price"": 4609.95, ""qty"": 1}}}]}",C40291214,C91907952,REF-1753,2026-05-16
INV_0000054,F_XREC_UBL,MY,SELL_0347,BUY_0532,2026-04-18,MYR,2663.21,0.21,559.27,3222.48,"{""invoice_lines"": [{""line"": {""id"": ""1"", ""item_details"": {""description"": ""Consulting Services"", ""price"": 2663.21, ""qty"": 1}}}]}",2800ABCDB,4909ABCDA,REF-5072,2026-05-16
INV_0000055,F_PEPPOL,SG,SELL_0153,BUY_0572,2026-05-15,SGD,4471.1,0.21,938.93,5410.03,"[{""id"": ""1"", ""description"": ""Consulting Services"", ""qty"": 1, ""price"": 4471.1}]",C76906611,C49608344,REF-3571,2026-05-16
INV_0000056,F_PINT_SG,FR,SELL_0170,BUY_0077,2026-04-28,EUR,2509.08,0.07,175.64,2684.72,"{""invoice_lines"": [{""line"": {""id"": ""1"", ""item_details"": {""description"": ""Consulting Services"", ""price"": 2509.08, ""qty"": 1}}}]}",DE843785903,FR906841821,REF-1824,2026-05-16
INV_0000057,F_NLCIUS,MY,SELL_0413,BUY_0241,2026-05-10,MYR,486.27,0.2,97.25,583.52,"{""invoice_lines"": [{""line"": {""id"": ""1"", ""item_details"": {""description"": ""Consulting Services"", ""price"": 486.27, ""qty"": 1}}}]}",C72546007,DE763706947,REF-9166,2026-05-16
INV_0000058,F_PEPPOL,BE,SELL_0019,BUY_0106,2026-03-24,EUR,2076.85,0.05,103.84,2180.69,"{""invoice_lines"": [{""line"": {""id"": ""1"", ""item_details"": {""description"": ""Consulting Services"", ""price"": 2076.85, ""qty"": 1}}}]}",FR602564736,NL608482316,REF-2489,2026-05-16
INV_0000059,F_PINT_SG,MY,SELL_0521,BUY_0576,2026-04-22,MYR,1113.57,0.2,222.71,1336.28,"{""invoice_lines"": [{""line"": {""id"": ""1"", ""item_details"": {""description"": ""Consulting Services"", ""price"": 1113.57, ""qty"": 1}}}]}",BE745317824,DE639440654,REF-1889,2026-05-16
