invoice_id,target_format,is_mapping_valid,mapping_errors,corrected_fields
INV_0000001,F_PINT_MY,1,,{}
INV_0000002,F_PEPPOL,1,,{}
INV_0000003,F_PINT_MY,1,,{}
INV_0000004,F_NLCIUS,0,"currency_not_supported,buyer_vat_missing_for_target,seller_vat_format_invalid","{""currency"": ""EUR"", ""buyer_vat"": ""FR191163279"", ""seller_vat"": ""BE312332805""}"
INV_0000005,F_XREC_UBL,0,line_item_structure_incompatible,"{""line_items_json"": ""[{\""id\"": \""1\"", \""description\"": \""Consulting Services\"", \""qty\"": 1, \""price\"": 1543.29}]""}"
INV_0000006,F_XREC_UBL,0,"seller_vat_format_invalid,missing_required_field","{""seller_vat"": ""FR300895568"", ""issue_date"": ""ARBITRARY_DEFAULT_DATE""}"
INV_0000007,F_XREC_UBL,1,,{}
INV_0000008,F_PEPPOL,1,,{}
INV_0000009,F_PINT_MY,1,,{}
INV_0000010,F_PINT_SG,1,,{}
INV_0000011,F_PEPPOL,1,,{}
INV_0000012,F_XREC_CII,1,,{}
INV_0000013,F_PEPPOL,1,,{}
INV_0000014,F_PEPPOL,1,,{}
INV_0000015,F_FACTURX,1,,{}
INV_0000016,F_ZUGFERD,1,,{}
INV_0000017,F_XREC_CII,1,,{}
INV_0000018,F_ZUGFERD,1,,{}
INV_0000019,F_ZUGFERD,1,,{}
INV_0000020,F_FACTURX,0,"tax_amount_mismatch,missing_required_field","{""tax_amount"": 16.93, ""total_amount"": 258.78, ""issue_date"": ""ARBITRARY_DEFAULT_DATE""}"
INV_0000021,F_XREC_CII,1,,{}
INV_0000022,F_FACTURX,1,,{}
INV_0000023,F_FACTURX,1,,{}
INV_0000024,F_ZUGFERD,1,,{}
INV_0000025,F_PINT_MY,1,,{}
INV_0000026,F_ZUGFERD,0,"missing_required_field,currency_not_supported","{""issue_date"": ""ARBITRARY_DEFAULT_DATE"", ""currency"": ""EUR""}"
INV_0000027,F_PINT_SG,1,,{}
INV_0000028,F_ZUGFERD,1,,{}
INV_0000029,F_PINT_SG,1,,{}
INV_0000030,F_PINT_MY,1,,{}
INV_0000031,F_PINT_SG,1,,{}
INV_0000032,F_NLCIUS,1,,{}
INV_0000033,F_PEPPOL,1,,{}
INV_0000034,F_PINT_SG,1,,{}
INV_0000035,F_PINT_MY,1,,{}
INV_0000036,F_PEPPOL,0,"line_item_structure_incompatible,buyer_vat_missing_for_target","{""line_items_json"": ""{\""invoice_lines\"": [{\""line\"": {\""id\"": \""1\"", \""item_details\"": {\""description\"": \""Consulting Services\"", \""price\"": 1125.97, \""qty\"": 1}}}]}"", ""buyer_vat"": ""BE786069196""}"
INV_0000037,F_ZUGFERD,1,,{}
INV_0000038,F_ZUGFERD,1,,{}
INV_0000039,F_PEPPOL,1,,{}
INV_0000040,F_XREC_CII,0,"tax_amount_mismatch,seller_vat_format_invalid","{""tax_amount"": 996.22, ""total_amount"": 5977.3, ""seller_vat"": ""FR737599912""}"
INV_0000041,F_PEPPOL,1,,{}
INV_0000042,F_PINT_MY,1,,{}
INV_0000043,F_FACTURX,1,,{}
INV_0000044,F_PINT_SG,1,,{}
INV_0000045,F_FACTURX,1,,{}
INV_0000046,F_PEPPOL,1,,{}
INV_0000047,F_PINT_MY,1,,{}
INV_0000048,F_ZUGFERD,1,,{}
INV_0000049,F_PINT_SG,1,,{}
INV_0000050,F_NLCIUS,0,"buyer_vat_missing_for_target,credit_note_not_supported","{""buyer_vat"": ""BE700797791"", ""subtotal"": 4779.94, ""tax_amount"": 908.19, ""total_amount"": 5688.13}"
INV_0000051,F_XREC_CII,1,,{}
INV_0000052,F_PEPPOL,1,,{}
