invoice_id,target_format,is_mapping_valid,mapping_errors,corrected_fields
INV-SRC-00001,pint_my,True,,{}
INV-SRC-00002,facturx,False,missing_required_field,"{""delivery_date"": ""2024-02-27""}"
INV-SRC-00003,peppol_bis_3,False,missing_required_field,"{""payment_reference"": ""PAY-912270-00003""}"
INV-SRC-00004,peppol_bis_3,True,,{}
INV-SRC-00005,facturx,True,,{}
INV-SRC-00006,peppol_bis_3,True,,{}
INV-SRC-00007,facturx,False,seller_vat_format_invalid|currency_not_supported,"{""seller_vat"": ""BE0787429671"", ""currency"": ""EUR""}"
INV-SRC-00008,nlcius,True,,{}
INV-SRC-00009,peppol_bis_3,False,currency_not_supported|buyer_vat_missing_for_target,"{""currency"": ""EUR"", ""buyer_vat"": ""BE0753396360""}"
INV-SRC-00010,pint_sg,True,,{}
INV-SRC-00011,facturx,True,,{}
INV-SRC-00012,pint_sg,True,,{}
INV-SRC-00013,peppol_bis_3,True,,{}
INV-SRC-00014,xrechnung_ubl,False,seller_vat_format_invalid|tax_amount_mismatch,"{""seller_vat"": ""FRBJ681177589"", ""tax_amount"": ""25227.34"", ""total_amount"": ""151364.02""}"
INV-SRC-00015,facturx,False,missing_required_field,"{""delivery_date"": ""2024-03-13""}"
INV-SRC-00016,pint_my,True,,{}
INV-SRC-00017,nlcius,True,,{}
INV-SRC-00018,facturx,True,,{}
INV-SRC-00019,pint_my,True,,{}
INV-SRC-00020,facturx,True,,{}
INV-SRC-00021,nlcius,True,,{}
INV-SRC-00022,peppol_bis_3,True,,{}
INV-SRC-00023,pint_my,False,tax_amount_mismatch,"{""tax_amount"": ""19803.28"", ""total_amount"": ""124031.09""}"
INV-SRC-00024,facturx,True,,{}
INV-SRC-00025,peppol_bis_3,True,,{}
INV-SRC-00026,nlcius,True,,{}
INV-SRC-00027,peppol_bis_3,False,tax_amount_mismatch,"{""tax_amount"": ""12601.47"", ""total_amount"": ""192622.54""}"
INV-SRC-00028,peppol_bis_3,True,,{}
INV-SRC-00029,nlcius,True,,{}
INV-SRC-00030,xrechnung_ubl,False,tax_amount_mismatch,"{""tax_amount"": ""25219.09"", ""total_amount"": ""145309.98""}"
INV-SRC-00031,pint_sg,True,,{}
INV-SRC-00032,nlcius,True,,{}
INV-SRC-00033,facturx,False,tax_amount_mismatch,"{""tax_amount"": ""11460.0"", ""total_amount"": ""66031.42""}"
INV-SRC-00034,peppol_bis_3,True,,{}
INV-SRC-00035,facturx,True,,{}
INV-SRC-00036,nlcius,True,,{}
INV-SRC-00037,peppol_bis_3,True,,{}
INV-SRC-00038,facturx,True,,{}
INV-SRC-00039,pint_sg,False,missing_required_field,"{""delivery_date"": ""2024-10-06""}"
INV-SRC-00040,facturx,False,credit_note_not_supported,"{""subtotal"": ""23532.1"", ""tax_amount"": ""1906.1"", ""total_amount"": ""25438.2""}"
INV-SRC-00041,peppol_bis_3,True,,{}
INV-SRC-00042,pint_sg,True,,{}
INV-SRC-00043,peppol_bis_3,True,,{}
INV-SRC-00044,xrechnung_ubl,True,,{}
INV-SRC-00045,facturx,True,,{}
INV-SRC-00046,pint_sg,True,,{}
INV-SRC-00047,facturx,True,,{}
INV-SRC-00048,peppol_bis_3,True,,{}
INV-SRC-00049,peppol_bis_3,True,,{}
INV-SRC-00050,nlcius,True,,{}
INV-SRC-00051,pint_sg,True,,{}
INV-SRC-00052,facturx,True,,{}
INV-SRC-00053,facturx,True,,{}
INV-SRC-00054,nlcius,True,,{}
INV-SRC-00055,pint_sg,True,,{}
INV-SRC-00056,peppol_bis_3,True,,{}
INV-SRC-00057,facturx,True,,{}
INV-SRC-00058,facturx,True,,{}
INV-SRC-00059,nlcius,True,,{}
INV-SRC-00060,peppol_bis_3,True,,{}
INV-SRC-00061,peppol_bis_3,False,seller_vat_format_invalid|tax_amount_mismatch,"{""seller_vat"": ""DE478985625"", ""tax_amount"": ""46652.49"", ""total_amount"": ""292191.93""}"
INV-SRC-00062,pint_my,True,,{}
INV-SRC-00063,xrechnung_ubl,True,,{}
INV-SRC-00064,pint_my,True,,{}
INV-SRC-00065,pint_sg,True,,{}
INV-SRC-00066,xrechnung_ubl,True,,{}
INV-SRC-00067,facturx,True,,{}
INV-SRC-00068,facturx,True,,{}
INV-SRC-00069,pint_sg,True,,{}
INV-SRC-00070,facturx,True,,{}
INV-SRC-00071,facturx,True,,{}
INV-SRC-00072,peppol_bis_3,True,,{}
INV-SRC-00073,peppol_bis_3,True,,{}
INV-SRC-00074,xrechnung_ubl,True,,{}
