target_format,syntax,line_item_structure,invoice_id,seller_id,buyer_id,issue_date,currency,subtotal,tax_amount,total_amount,seller_vat,buyer_vat,EndpointID,line_items,credit_note_status,VATID,line_items.invoice_lines,UEN,payment_reference,CompanyID,delivery_date,RegistrationNo
F_XREC_UBL,UBL,flat,INV-TST-00001,MART-8774,,2024-05-02,EUR,166069.38,9133.82,175203.2,FRDW998377354,DE719813211,FRDW998377354,[],SUPPORTED,,,,,,,
F_FACTURX,CII,nested,INV-TST-00002,VISS-5942,LEFE-7961,2024-02-26,EUR,21622.3,1946.01,23568.31,NL289595798B02,FRGG963405083,,,SUPPORTED,NL289595798B02,"[{'line': {'id': '1', 'item_details': {'description': 'Ergonomic Office Chair Pro', 'price': 0, 'qty': 1}}}]",,,,,
F_PINT_SG,UBL,flat,INV-TST-00003,WEBE-3633,LION-4664,2024-01-19,SGD,40274.35,2819.2,43093.55,DE908729548,SG663292979D,,[],SUPPORTED,,,DE908729548,,,,
F_PEPPOL,UBL,nested,INV-TST-00004,BAKK-5802,JANS-2482,2024-11-23,EUR,182644.49,38355.34,220999.83,NL733750205B73,BE0850695226,,,SUPPORTED,,"[{'line': {'id': '1', 'item_details': {'description': 'Cloud Hosting Monthly', 'price': 0, 'qty': 1}}}, {'line': {'id': '2', 'item_details': {'description': 'Assembly Group 2', 'price': 0, 'qty': 1}}}, {'line': {'id': '3', 'item_details': {'description': 'Software License Enterprise Annual', 'price': 0, 'qty': 1}}}, {'line': {'id': '4', 'item_details': {'description': 'Server Rack Unit 42U', 'price': 0, 'qty': 1}}}, {'line': {'id': '5', 'item_details': {'description': 'Assembly Group 5', 'price': 0, 'qty': 1}}}, {'line': {'id': '6', 'item_details': {'description': 'UPS 3000VA Rackmount', 'price': 0, 'qty': 1}}}]",,,NL733750205B73,,
F_PEPPOL,UBL,nested,INV-TST-00005,SCHN-9567,VISS-4417,2024-10-21,EUR,179236.67,12546.57,191783.24,DE134112370,NL505875278B81,,"[{'line_id': 1, 'description': 'Monitor Arm Dual VESA', 'quantity': 18, 'unit': 'EA', 'unit_price': 94.5, 'line_total': 1701.0}, {'line_id': 2, 'description': 'Document Shredder Cross-Cut', 'quantity': 2, 'unit': 'EA', 'unit_price': 159.65, 'line_total': 319.3}, {'line_id': 3, 'description': 'Assembly Group 3', 'quantity': 1, 'unit': 'EA', 'unit_price': 8659.37, 'line_total': 8659.37, 'sub_items': [{'line_id': '3.1', 'description': 'Monitor Arm Dual VESA', 'quantity': 2, 'unit': 'EA', 'unit_price': 88.88, 'line_total': 177.76}, {'line_id': '3.2', 'description': 'Document Shredder Cross-Cut', 'quantity': 36, 'unit': 'EA', 'unit_price': 163.66, 'line_total': 5891.76}, {'line_id': '3.3', 'description': 'LED Desk Lamp Adjustable', 'quantity': 40, 'unit': 'EA', 'unit_price': 37.98, 'line_total': 1519.2}, {'line_id': '3.4', 'description': 'LED Desk Lamp Adjustable', 'quantity': 23, 'unit': 'EA', 'unit_price': 46.55, 'line_total': 1070.65}]}, {'line_id': 4, 'description': 'Standing Desk Electric 160x80', 'quantity': 81, 'unit': 'EA', 'unit_price': 747.39, 'line_total': 60538.59}, {'line_id': 5, 'description': 'Filing Cabinet 4-Drawer Steel', 'quantity': 82, 'unit': 'EA', 'unit_price': 243.67, 'line_total': 19980.94}, {'line_id': 6, 'description': 'Assembly Group 6', 'quantity': 1, 'unit': 'EA', 'unit_price': 25242.63, 'line_total': 25242.63, 'sub_items': [{'line_id': '6.1', 'description': 'A4 Paper Premium 80gsm 500-Sheet', 'quantity': 9, 'unit': 'EA', 'unit_price': 4.78, 'line_total': 43.02}, {'line_id': '6.2', 'description': 'Ergonomic Office Chair Pro', 'quantity': 46, 'unit': 'EA', 'unit_price': 445.68, 'line_total': 20501.28}, {'line_id': '6.3', 'description': 'Toner Cartridge Black HP 26A', 'quantity': 47, 'unit': 'EA', 'unit_price': 93.24, 'line_total': 4382.28}, {'line_id': '6.4', 'description': 'A4 Paper Premium 80gsm 500-Sheet', 'quantity': 49, 'unit': 'EA', 'unit_price': 6.45, 'line_total': 316.05}]}, {'line_id': 7, 'description': 'Toner Cartridge Black HP 26A', 'quantity': 86, 'unit': 'EA', 'unit_price': 88.25, 'line_total': 7589.5}, {'line_id': 8, 'description': 'Standing Desk Electric 160x80', 'quantity': 57, 'unit': 'EA', 'unit_price': 630.68, 'line_total': 35948.76}, {'line_id': 9, 'description': 'LED Desk Lamp Adjustable', 'quantity': 79, 'unit': 'EA', 'unit_price': 38.01, 'line_total': 3002.79}, {'line_id': 10, 'description': 'Assembly Group 10', 'quantity': 1, 'unit': 'EA', 'unit_price': 5894.08, 'line_total': 5894.08, 'sub_items': [{'line_id': '10.1', 'description': 'Toner Cartridge Black HP 26A', 'quantity': 49, 'unit': 'EA', 'unit_price': 93.17, 'line_total': 4565.33}, {'line_id': '10.2', 'description': 'LED Desk Lamp Adjustable', 'quantity': 25, 'unit': 'EA', 'unit_price': 53.15, 'line_total': 1328.75}]}, {'line_id': 11, 'description': 'Whiteboard Magnetic 120x90cm', 'quantity': 79, 'unit': 'EA', 'unit_price': 87.52, 'line_total': 6914.08}, {'line_id': 12, 'description': 'Desk Organizer Set 5-Piece', 'quantity': 1, 'unit': 'EA', 'unit_price': 30.18, 'line_total': 30.18}, {'line_id': 13, 'description': 'Desk Organizer Set 5-Piece', 'quantity': 83, 'unit': 'EA', 'unit_price': 41.15, 'line_total': 3415.45}]",SUPPORTED,,,,PAY-970242-00005,DE134112370,,
F_FACTURX,CII,nested,INV-TST-00006,VAN-3368,BERN-4299,2025-04-21,EUR,3613.49,216.81,3830.3,BE0909963701,FRDJ473808388,,,SUPPORTED,BE0909963701,"[{'line': {'id': '1', 'item_details': {'description': 'EMI Shielding Gasket 100mm', 'price': 0, 'qty': 1}}}, {'line': {'id': '2', 'item_details': {'description': 'PCB Assembly 4-Layer', 'price': 0, 'qty': 1}}}, {'line': {'id': '3', 'item_details': {'description': 'Heat Sink Aluminum 40x40x20', 'price': 0, 'qty': 1}}}, {'line': {'id': '4', 'item_details': {'description': 'Connector USB-C Female PCB', 'price': 0, 'qty': 1}}}, {'line': {'id': '5', 'item_details': {'description': 'Capacitor 100uF 50V MLCC', 'price': 0, 'qty': 1}}}, {'line': {'id': '6', 'item_details': {'description': 'LCD Display Module 7-inch', 'price': 0, 'qty': 1}}}, {'line': {'id': '7', 'item_details': {'description': 'Heat Sink Aluminum 40x40x20', 'price': 0, 'qty': 1}}}, {'line': {'id': '8', 'item_details': {'description': 'Connector USB-C Female PCB', 'price': 0, 'qty': 1}}}]",,,,,
F_PINT_MY,UBL,nested,INV-TST-00007,KRÜG-5979,BEST-6026,2024-11-15,MYR,51.48,9.78,61.26,DE196281597,MY49973262071,,,SUPPORTED,,"[{'line': {'id': '1', 'item_details': {'description': 'Capacitor 100uF 50V MLCC', 'price': 0, 'qty': 1}}}]",,,,2024-12-15,DE196281597
F_PINT_SG,UBL,flat,INV-TST-00008,KRÜG-7745,LION-5934,2024-10-01,SGD,153062.85,10714.4,163777.25,DE642549964,SG188546331A,,[],SUPPORTED,,,DE642549964,,,,
F_PEPPOL,UBL,nested,INV-TST-00009,SELL-46944,DIJK-5172,2025-07-02,EUR,1142.95,160.01,1302.96,FI11591697,NL232115489B60,,"[{'line_id': 1, 'description': 'Assembly Group 1', 'quantity': 1, 'unit': 'EA', 'unit_price': 423.11, 'line_total': 423.11, 'sub_items': [{'line_id': '1.1', 'description': 'Power Supply Module 24V/10A', 'quantity': 3, 'unit': 'EA', 'unit_price': 69.66, 'line_total': 208.98}, {'line_id': '1.2', 'description': 'Heat Sink Aluminum 40x40x20', 'quantity': 1, 'unit': 'EA', 'unit_price': 3.52, 'line_total': 3.52}, {'line_id': '1.3', 'description': 'Capacitor 100uF 50V MLCC', 'quantity': 21, 'unit': 'EA', 'unit_price': 0.14, 'line_total': 2.94}, {'line_id': '1.4', 'description': 'Thermal Paste Arctic MX-6 4g', 'quantity': 19, 'unit': 'EA', 'unit_price': 10.93, 'line_total': 207.67}]}, {'line_id': 2, 'description': 'Wire Harness Custom 12-Pin', 'quantity': 44, 'unit': 'EA', 'unit_price': 16.36, 'line_total': 719.84}]",SUPPORTED,,,,PAY-425575-00009,FI11591697,,
F_PEPPOL,UBL,nested,INV-TST-00010,DIJK-2709,JANS-4397,2025-12-09,EUR,65071.13,5856.4,70927.53,NL684660739B81,BE0391086628,,,SUPPORTED,,"[{'line': {'id': '1', 'item_details': {'description': 'CNC Machining Service', 'price': 0, 'qty': 1}}}, {'line': {'id': '2', 'item_details': {'description': 'Assembly Group 2', 'price': 0, 'qty': 1}}}, {'line': {'id': '3', 'item_details': {'description': 'Ball Bearing SKF 6205-2RS', 'price': 0, 'qty': 1}}}, {'line': {'id': '4', 'item_details': {'description': 'Industrial Gasket Set DN50', 'price': 0, 'qty': 1}}}, {'line': {'id': '5', 'item_details': {'description': 'CNC Machining Service', 'price': 0, 'qty': 1}}}, {'line': {'id': '6', 'item_details': {'description': 'Pneumatic Actuator DA-63', 'price': 0, 'qty': 1}}}, {'line': {'id': '7', 'item_details': {'description': 'CNC Machining Service', 'price': 0, 'qty': 1}}}]",,PAY-984954-00010,NL684660739B81,,
