invoice_id,target_format,is_mapping_valid,mapping_errors,corrected_fields
INV-SRC-00001,facturx,True,,{}
INV-SRC-00002,nlcius,False,tax_amount_mismatch|currency_not_supported,"{""tax_amount"": ""305.89"", ""total_amount"": ""4675.68"", ""currency"": ""EUR""}"
INV-SRC-00003,pint_my,True,,{}
INV-SRC-00004,peppol_bis_3,True,,{}
INV-SRC-00005,xrechnung_ubl,True,,{}
INV-SRC-00006,facturx,True,,{}
INV-SRC-00007,xrechnung_ubl,False,tax_amount_mismatch,"{""tax_amount"": ""113.05"", ""total_amount"": ""651.38""}"
INV-SRC-00008,facturx,True,,{}
INV-SRC-00009,facturx,False,seller_vat_format_invalid,"{""seller_vat"": ""DE766156545""}"
INV-SRC-00010,xrechnung_ubl,True,,{}
INV-SRC-00011,peppol_bis_3,True,,{}
INV-SRC-00012,peppol_bis_3,True,,{}
INV-SRC-00013,facturx,True,,{}
INV-SRC-00014,peppol_bis_3,True,,{}
INV-SRC-00015,xrechnung_ubl,False,tax_amount_mismatch,"{""tax_amount"": ""20490.82"", ""total_amount"": ""248166.65""}"
INV-SRC-00016,nlcius,True,,{}
INV-SRC-00017,nlcius,True,,{}
INV-SRC-00018,xrechnung_ubl,True,,{}
INV-SRC-00019,peppol_bis_3,True,,{}
INV-SRC-00020,nlcius,True,,{}
INV-SRC-00021,xrechnung_ubl,True,,{}
INV-SRC-00022,pint_my,True,,{}
INV-SRC-00023,xrechnung_ubl,False,seller_vat_format_invalid|currency_not_supported,"{""seller_vat"": ""FRUX888794705"", ""currency"": ""EUR""}"
INV-SRC-00024,peppol_bis_3,True,,{}
INV-SRC-00025,facturx,True,,{}
INV-SRC-00026,pint_sg,True,,{}
INV-SRC-00027,facturx,False,tax_amount_mismatch,"{""tax_amount"": ""37926.86"", ""total_amount"": ""237541.9""}"
INV-SRC-00028,facturx,True,,{}
INV-SRC-00029,facturx,True,,{}
INV-SRC-00030,nlcius,False,tax_amount_mismatch|seller_vat_format_invalid,"{""tax_amount"": ""1190.59"", ""total_amount"": ""7456.85"", ""seller_vat"": ""DE304699013""}"
INV-SRC-00031,nlcius,True,,{}
INV-SRC-00032,facturx,True,,{}
INV-SRC-00033,pint_my,False,currency_not_supported,"{""currency"": ""MYR""}"
INV-SRC-00034,xrechnung_ubl,True,,{}
INV-SRC-00035,xrechnung_ubl,True,,{}
INV-SRC-00036,facturx,True,,{}
INV-SRC-00037,xrechnung_ubl,True,,{}
INV-SRC-00038,peppol_bis_3,True,,{}
INV-SRC-00039,xrechnung_ubl,False,buyer_vat_missing_for_target,"{""buyer_vat"": ""DE050723688""}"
INV-SRC-00040,pint_sg,False,tax_amount_mismatch,"{""tax_amount"": ""4980.62"", ""total_amount"": ""54786.77""}"
INV-SRC-00041,pint_sg,True,,{}
INV-SRC-00042,facturx,True,,{}
INV-SRC-00043,xrechnung_ubl,True,,{}
INV-SRC-00044,xrechnung_ubl,True,,{}
INV-SRC-00045,nlcius,True,,{}
INV-SRC-00046,facturx,True,,{}
INV-SRC-00047,nlcius,True,,{}
INV-SRC-00048,nlcius,False,tax_amount_mismatch,"{""tax_amount"": ""2414.84"", ""total_amount"": ""36912.5""}"
INV-SRC-00049,pint_sg,True,,{}
INV-SRC-00050,facturx,True,,{}
INV-SRC-00051,peppol_bis_3,True,,{}
INV-SRC-00052,nlcius,True,,{}
INV-SRC-00053,nlcius,True,,{}
INV-SRC-00054,facturx,True,,{}
INV-SRC-00055,facturx,True,,{}
INV-SRC-00056,xrechnung_ubl,True,,{}
INV-SRC-00057,pint_my,True,,{}
INV-SRC-00058,pint_sg,True,,{}
INV-SRC-00059,pint_my,True,,{}
INV-SRC-00060,pint_my,True,,{}
INV-SRC-00061,facturx,False,tax_amount_mismatch,"{""tax_amount"": ""4385.65"", ""total_amount"": ""114026.89""}"
INV-SRC-00062,nlcius,True,,{}
INV-SRC-00063,peppol_bis_3,True,,{}
INV-SRC-00064,facturx,True,,{}
INV-SRC-00065,facturx,True,,{}
INV-SRC-00066,facturx,True,,{}
INV-SRC-00067,xrechnung_ubl,True,,{}
INV-SRC-00068,peppol_bis_3,True,,{}
INV-SRC-00069,pint_my,True,,{}
INV-SRC-00070,nlcius,True,,{}
INV-SRC-00071,facturx,True,,{}
INV-SRC-00072,peppol_bis_3,True,,{}
INV-SRC-00073,pint_my,True,,{}
INV-SRC-00074,facturx,True,,{}
INV-SRC-00075,nlcius,True,,{}
INV-SRC-00076,nlcius,True,,{}
INV-SRC-00077,nlcius,True,,{}
INV-SRC-00078,pint_sg,True,,{}
INV-SRC-00079,nlcius,True,,{}
