source_format,target_country,issue_date,currency,subtotal,tax_rate,tax_amount,total_amount,seller_vat,buyer_vat,payment_reference,delivery_date,target_format,syntax,line_item_structure,supports_credit_note,max_line_items,expected_tax,tax_difference,currency_supported,line_item_count,total_quantity,avg_item_price,has_negative_price,seller_vat_missing,buyer_vat_missing,payment_reference_missing,delivery_date_missing,missing_required_count
0,1,0,0,14331.43,0.21,3009.6,17341.03,0,0,0,0,2,1,1,True,500,3009.6,0.0,0,3,182,79.52333333333333,0,0,0,0,0,0
0,3,0,2,39864.4,0.07,2790.51,42654.91,0,0,0,0,6,1,0,False,100,2790.51,0.0,0,2,109,222.32500000000002,0,0,0,0,0,0
0,1,0,0,3681.12,0.21,773.04,4454.16,0,0,0,0,2,1,1,True,500,773.04,0.0,0,4,199,540.8050000000001,0,0,0,0,0,0
0,4,0,0,167150.77,0.07,11700.55,178851.32,0,0,0,0,8,1,1,True,500,11700.55,0.0,0,3,199,867.62,0,0,0,0,0,0
0,0,0,0,5733.21,0.055,315.33,6048.54,0,0,0,0,1,1,1,True,999,315.33,0.0,0,5,296,23.076,0,0,0,0,0,0
0,0,0,0,1740.6,0.21,365.53,2106.13,0,0,0,0,1,1,1,True,999,365.53,0.0,0,1,10,174.06,0,0,0,0,0,0
0,1,0,0,228861.09,0.04,9154.44,238015.53,0,0,0,0,2,1,1,True,500,9154.44,0.0,0,6,293,17877.875,0,0,0,0,0,0
0,2,0,0,490.26,0.07,32.8,523.06,0,0,0,0,5,0,0,False,200,34.32,1.52,0,2,62,7.7299999999999995,0,0,0,0,0,0
0,1,0,0,6730.24,0.055,370.16,7100.4,0,0,0,0,2,1,1,True,500,370.16,0.0,0,3,102,63.07333333333333,0,0,0,0,0,0
0,0,0,0,130850.29,0.19,24861.56,155711.85,0,0,0,0,1,1,1,True,999,24861.56,0.0,0,3,203,638.9566666666667,0,0,0,0,0,0
0,2,0,0,2449.38,0.07,171.46,2620.84,0,0,0,0,5,0,0,False,200,171.46,0.0,0,3,155,20.58666666666667,0,0,0,0,0,0
0,4,0,0,268.11,0.1,26.81,294.92,0,0,0,0,8,1,1,True,500,26.81,0.0,0,1,3,89.37,0,0,0,0,0,0
0,2,0,0,27715.98,0.07,1940.12,29656.1,0,0,0,0,5,0,0,False,200,1940.12,0.0,0,2,105,264.275,0,0,0,0,0,0
0,4,0,0,18730.24,0.19,3558.75,22288.99,0,0,0,0,8,1,1,True,500,3558.75,0.0,0,3,223,85.25333333333333,0,0,0,0,0,0
0,2,0,0,61218.84,0.04,2448.75,63667.59,0,0,0,0,5,0,0,False,200,2448.75,0.0,0,10,494,128.113,0,0,0,0,0,0
0,4,0,0,238992.92,0.15,35848.94,274841.86,0,0,0,0,8,1,1,True,500,35848.94,0.0,0,3,128,1988.9833333333333,0,0,0,0,0,0
0,2,0,0,102510.68,0.19,19477.03,121987.71,0,0,0,0,5,0,0,False,200,19477.03,0.0,0,5,268,297.836,0,0,0,0,0,0
0,5,0,3,15199.51,0.06,911.97,16111.48,0,0,0,0,7,1,1,True,100,911.97,0.0,0,21,885,255.7990476190476,0,0,0,0,0,0
0,1,0,0,102786.96,0.06,6637.67,109424.63,0,0,0,0,2,1,1,True,500,6167.22,470.45,0,9,344,1260.4522222222222,0,0,0,0,0,0
0,0,0,0,4117.64,0.19,782.35,4899.99,0,0,0,0,1,1,1,True,999,782.35,0.0,0,2,144,22.215,0,0,0,0,0,0
0,1,0,0,7474.67,0.13,971.71,8446.38,0,0,0,0,2,1,1,True,500,971.71,0.0,0,3,149,55.696666666666665,0,0,0,0,0,0
0,0,0,0,8599.14,0.09,773.92,9373.06,0,0,0,0,1,1,1,True,999,773.92,0.0,0,2,174,48.41,0,0,0,0,0,0
0,4,0,0,91951.58,0.07,6436.61,98388.19,0,0,0,0,8,1,1,True,500,6436.61,0.0,0,11,262,4836.964545454545,0,0,0,0,0,0
0,1,0,0,118481.23,0.09,10663.31,129144.54,0,0,0,0,2,1,1,True,500,10663.31,0.0,0,5,304,304.256,0,0,0,0,0,0
0,0,0,0,100588.19,0.07,7041.17,107629.36,0,0,0,0,1,1,1,True,999,7041.17,0.0,0,32,1318,926.9343749999999,0,0,0,0,0,0
0,1,0,0,23959.93,0.2,4791.99,28751.92,0,0,0,0,2,1,1,True,500,4791.99,0.0,0,14,790,54.135714285714286,0,0,0,0,0,0
0,2,0,0,-50368.57,0.19,-9570.03,-59938.6,0,0,0,0,5,0,0,False,200,-9570.03,0.0,0,8,345,129.7725,0,0,0,0,0,0
0,0,0,0,2691.18,0.081,217.99,2909.17,0,0,0,0,1,1,1,True,999,217.99,0.0,0,2,62,279.09,0,0,0,0,0,0
0,1,0,0,165189.1,0.09,14867.02,180056.12,0,0,0,0,2,1,1,True,500,14867.02,0.0,0,4,134,19905.525,0,0,0,0,0,0
0,5,0,3,36874.46,0.19,7006.15,43880.61,0,0,0,0,7,1,1,True,100,7006.15,0.0,0,2,103,399.27,0,0,1,0,0,1
0,2,0,0,103237.88,0.07,7226.65,110464.53,0,0,0,0,5,0,0,False,200,7226.65,0.0,0,2,131,793.745,0,0,0,0,0,0
0,2,0,0,6176.66,0.19,1173.57,7350.23,0,0,0,0,5,0,0,False,200,1173.57,0.0,0,10,331,13.911000000000001,0,0,0,0,0,0
0,1,0,0,47720.83,0.21,10021.37,57742.2,0,0,0,0,2,1,1,True,500,10021.37,0.0,0,8,412,1642.4737499999999,0,0,0,0,0,0
0,1,0,0,165744.91,0.255,42264.95,208009.86,0,0,0,0,2,1,1,True,500,42264.95,0.0,0,3,130,1734.7933333333333,0,0,0,0,0,0
0,2,0,0,21535.19,0.07,1646.98,23182.17,0,0,0,0,5,0,0,False,200,1507.46,139.52,0,5,197,123.452,0,0,0,0,0,1
0,5,0,3,84006.15,0.1,8400.61,92406.76,0,0,0,0,7,1,1,True,100,8400.62,0.01,0,3,49,7281.426666666666,0,0,0,0,0,0
0,4,0,0,23753.77,0.19,4781.24,28535.01,0,0,0,0,8,1,1,True,500,4513.22,268.02,0,2,53,2740.49,0,0,0,0,0,0
0,2,0,0,1751.37,0.21,367.79,2119.16,0,0,0,0,5,0,0,False,200,367.79,0.0,0,5,265,17.706,0,0,0,0,0,0
